Document Name,Chunk 1,Chunk 2,Chunk 3,Chunk 4,Chunk 5,Chunk 6,Chunk 7,Chunk 8,Chunk 9,Chunk 10,Chunk 11,Chunk 12,Chunk 13,Chunk 14,Chunk 15,Chunk 16
"1849. Wackerbarth, Dietrich.txt",0.3916876574307305,0.3824013157894737,0.39532944120100083,0.4025157232704403,0.414468085106383,0.4190155658392932,0.3851380042462845,0.3965589592950063,0.3854210305823209,0.3887959866220736,0.38445378151260506,0.38341750841750843,0.38177966101694916,0.532293986636971,,
"2000. Heaney, Seamus.txt",0.3923110528615116,0.37134251290877796,0.38968357173818813,0.400087260034904,0.39748591244039877,0.4029916410030796,0.38380281690140844,0.3930913860953214,0.4135206321334504,0.39243290805103387,0.38280226975120035,0.3748902546093064,0.3652326602282704,0.43205574912891986,,
"1855. Thorpe, Benjamin.txt",0.35832995541143087,0.32689987937273823,0.3300970873786408,0.32918506623845845,0.3396149119213437,0.3514831369362048,0.33508914100486226,0.33561093247588425,0.32144304823672476,0.31000813669650124,0.3149671052631579,0.33590576766856217,0.355087358684481,,,
"2012. Meyer, Thomas.txt",0.4010458567980692,0.3628571428571429,0.39204545454545453,0.3829357056207036,0.36732186732186733,0.3604081632653061,0.36650082918739635,0.34169653524492233,0.6459854014598541,,,,,,,
"1991. Rebsamen, Frederick.txt",0.42448036951501156,0.41043083900226757,0.43810400368154623,0.42850553505535055,0.41590493601462525,0.4304449648711944,0.42239776951672864,0.3985239852398524,0.40907008703618875,0.4255813953488372,0.4010246856078249,0.4298327137546468,0.48553557466770914,,,
1966-2002. Talbot Donaldson.txt,0.3421739130434783,0.3333333333333333,0.33261525204653164,0.3383751080380294,0.33564614050303554,0.3403523850451225,0.33432835820895523,0.3242894056847545,0.33601354210749046,0.31900257953568356,0.32170542635658916,0.3326105810928014,0.4104769351055512,,,
2020. Maria Dahvana Headley.txt,0.38912788423934297,0.35369153459605723,0.37152913570590534,0.3962189838519102,0.37022292993630573,0.38642604943114944,0.37302215189873417,0.39069952305246425,0.38330019880715704,0.41025641025641024,0.3558330081935232,0.35326299335678,0.3672900915240748,0.6086956521739131,,
"1897. Hall, John Lesslie.txt",0.4015444015444015,0.39016115351993214,0.3878942881500426,0.39218213058419243,0.41856467554791577,0.4061969439728353,0.4068230277185501,0.40651438240270726,0.4028013582342954,0.40263046245226985,0.39505119453924914,0.38442105263157894,0.4011082693947144,0.40667678300455234,,
"1973. Alexander, Michael.txt",0.3817712811693895,0.35344827586206895,0.36701208981001726,0.3631713554987212,0.3601565898216616,0.35851528384279474,0.3543411194358748,0.36395147313691506,0.36625874125874125,0.3556231003039514,0.34376358105171667,0.3452740612861459,0.3635559486952676,0.46450809464508097,,
"1991. Romano, Tim.txt",0.4154566744730679,0.38978370915784627,0.38894052044609667,0.6291793313069909,,,,,,,,,,,,
"2007. Ringler, Dick.txt",0.3910228744065602,0.3684661525278492,0.38594969644405897,0.3879757785467128,0.40480349344978167,0.3911917098445596,0.3854166666666667,0.4103896103896104,0.4083769633507853,0.3806198166739415,0.3939526730937774,0.433849821215733,,,,
"1910. Morris, Wyatt.txt",0.3706597222222222,0.35114174924601466,0.3543814432989691,0.34101783384080037,0.3664188893747267,0.3758680555555556,0.3697152717860224,0.35122370115929585,0.360550064460679,0.3758071459319845,0.35223367697594504,0.3408304498269896,0.35268630849220106,0.35621198957428324,0.36314760508308896,
"1910. Gummere, Francis B.txt",0.37973086627417996,0.3701589889930697,0.36409185803757826,0.3824148085822465,0.3903854123497721,0.36431846602751145,0.3919765984120351,0.36967418546365916,0.36784511784511786,0.3557245458386143,0.37435897435897436,0.4337748344370861,,,,
"2022. MarkotiÄ‡, Nicole.txt",0.44689221085759245,0.451171875,0.45601291364003227,0.4219114219114219,0.45831655255739023,0.4261565836298932,,,,,,,,,,
"1963. Burton, Raffel - Beowulf.txt",0.3924158500213038,0.3672363484785327,0.3778337531486146,0.389715257118572,0.3781157583438952,0.382996632996633,0.3758985200845666,0.3576300085251492,0.3738085370907584,0.3546511627906977,0.33638634471273937,0.3580968280467446,0.4740566037735849,,,
"1914. Hall, J. R. Clark (metrical).txt",0.3726790450928382,0.3494342906875544,0.3719806763285024,0.36395916555703506,0.38132635253054104,0.37956521739130433,0.3684210526315789,0.3714658547194432,0.3631993006993007,0.3840739111306643,0.35789473684210527,0.3380343763772587,0.35904255319148937,0.3698630136986301,0.5755102040816327,
"2006-1977. Chickering, Howell D.txt",0.37396351575456055,0.3503316749585406,0.3464270789803594,0.3533803401078391,0.36802349979018045,0.36550566512798993,0.36219816819317235,0.3560448691316992,0.344019728729963,0.3390254060807997,0.33555648186744474,0.3478070175438597,,,,
"1901. Hall, J. R. Clark (prose).txt",0.3774551665243382,0.37849280270956814,0.3553754266211604,0.3703545493378898,0.3741438356164384,0.3811129848229342,0.3588210166595472,0.36772823779193203,0.35947986577181207,0.35352661185633927,0.35220397579948143,0.3463018383924754,0.35708154506437767,0.5275,,
"1968. ODonoghue, Crossley-Holland.txt",0.3525668222316504,0.3351671603893356,0.34513651877133106,0.3433658329800763,0.346252129471891,0.35576510930132876,0.3542735042735043,0.33432708688245316,0.3476595744680851,0.3381725021349274,0.33076593923833975,0.3470181503889369,0.4241781548250265,,,
"1968. Garmonsway, George N.txt",0.35566328779197887,0.3530701754385965,0.35223748338502436,0.3308435852372584,0.36379613356766255,0.3516725352112676,0.368,0.33787945446546414,0.34572819831783974,0.36519070583077595,0.3459009206488382,0.34807607253427686,0.33006681514476616,0.33984895601954684,0.3539003966505068,0.49896907216494846
1952. Edwin Morgan.txt,0.3912483912483912,0.3689816787388155,0.3833768494342907,0.4032048505846687,0.39358474208929345,0.4017316017316017,0.3891540130151844,0.3827751196172249,0.4,0.3853849499782514,0.3726003490401396,0.38315696649029984,0.38672566371681416,,,
"2014-1926. Tolkien, J. R. R..txt",0.34152883325882877,0.3502874834144184,0.3532801418439716,0.3550983899821109,0.35036496350364965,0.3474576271186441,0.38372610048910627,0.3493761140819964,0.36014140521431726,0.375609756097561,0.36615384615384616,0.34827431645002244,0.3429715302491103,0.3534904401956425,0.35847382431233366,0.5483234714003945
1882. Garnett.txt,0.3768054375531011,0.35845129059117403,0.3566581849024597,0.3595744680851064,0.3633276740237691,0.3630252100840336,0.3662150719729043,0.3619890434049726,0.35648148148148145,0.3369702056231641,0.3446808510638298,0.3529664660361135,0.34679802955665023,,,
1923. Gordon R. K.txt,0.3392935019624945,0.326442721791559,0.32384648555411816,0.3417391304347826,0.3309951775537045,0.34543125533731855,0.3247602441150828,0.33029908972691807,0.3479744136460554,0.3300344234079174,0.3144086021505376,0.32728842832469773,0.3349220103986135,0.5555555555555556,,
"2021. Abbott et al., Jean.txt",0.3559966216216216,0.35854575846218134,0.3632154882154882,0.3577512776831346,0.3764855687606112,0.36889077773055673,0.3688421052631579,0.3532678342588637,0.3553962900505902,0.3420488641234462,0.3513859275053305,0.3649851632047478,0.400796812749004,,,
"1881. Lumsden, Henry W..txt",0.38080495356037153,0.3600174978127734,0.3723214285714286,0.3868092691622103,0.39211342490031015,0.3885238720981165,0.3839754816112084,0.36796158882584024,0.3694690265486726,0.36003482803656944,0.387153541575011,0.47079037800687284,,,,
"1876. Arnold, Thomas.txt",0.3468280467445743,0.3302286198137172,0.336283185840708,0.3396865734858111,0.35534062237174097,0.35510887772194305,0.33584905660377357,0.3571123451516446,0.34291754756871035,0.3454623287671233,0.3327681220856295,0.33064516129032256,0.3334763948497854,0.3857493857493858,,
"2013. Lehmann, Ruth P.M.txt",0.4380753138075314,0.42144638403990026,0.4217074217074217,0.437049597286986,0.4288114237715246,0.43381112984822934,0.41535181236673774,0.4278969957081545,0.4421505376344086,0.41060735671514115,0.43293207222699914,0.43343386471348555,0.5628058727569332,,,
"1957. Wright, David.txt",0.37960088691796007,0.3647523016220956,0.3704686118479222,0.3676207513416816,0.3531468531468531,0.3660159716060337,0.3380468404772426,0.3600174978127734,0.36010591350397175,0.33318700614574187,0.35495335406486006,0.3714591127739177,,,,
"1983. Osborn, Marijane.txt",0.3878360511238431,0.36627654963155615,0.3658854166666667,0.3744493392070485,0.3810989010989011,0.38137082601054484,0.3694239930705933,0.3566128328240943,0.376362843436546,0.35835879528590137,0.35657546337157986,0.3612565445026178,0.40155131264916466,,,
"2021. Mitchell, Stephen.txt",0.38011192423590184,0.35989717223650386,0.35170940170940174,0.35135135135135137,0.37719674239177026,0.3622690159003008,0.34133790737564323,0.3645878761447885,0.3340471092077088,0.3297273907399394,0.3508394317692639,0.6774193548387096,,,,
1913. Kirtlan E. J.txt,0.31798245614035087,0.3159041394335512,0.3130779392338177,0.31625054752518617,0.34180035650623886,0.3403416557161629,0.3188976377952756,0.34024713150926744,0.32123893805309733,0.3282985339848956,0.3181208053691275,0.30906654756587765,0.31945059813912274,0.3145496535796767,,
"1982. Greenfield, Stanley B.txt",0.39363057324840767,0.3768844221105528,0.3757988922028121,0.3953191489361702,0.40828402366863903,0.3829331046312178,0.38137378845343445,0.38678038379530916,0.38004246284501064,0.360794254330376,0.3855060034305317,0.4716577540106952,,,,
